SchoolName,Address,ZipCode,LATITUDE,LONGITUDE,COUNTA of Level,Matched Score,Matched School,PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_STATE_CODE,PSS_ZIP5,PSS_PHONE,DAYS PER SCHOOL YEAR,DAY HOURS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_T,PSS_RACE_ AMERICAN_INDIAN,PSS_RACE_ASIAN/PACIFIC,PSS_RACE_HISPANIC,PSS_RACE_BLACK,PSS_RACE_WHITE,PSS_RACE_PACIFIC,PSS_RACE_MULTICULTURAL,PSS_FULLTIME_TEACH,PSS_COEDUCATION,PSS_LEVEL,PSS_RELIG,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STUDENT_TEACHER_RATIO,PSS_ORIENT,PSS_COUNTY_NAME,Matched Address,Matched School Name
JEWISH INSTITUTE OF QUEENS,60-05 WOODHAVEN BLVD,11373.0,40.7312491,-73.8715604,4,97,,A2102646,JEWISH INSTITUTE OF QUEENS-ELEMENTARY,2,17,6005 WOODHAVEN BLVD,ELMHURST,36081,81,NY,36,11373,7184269369,180.0,8.0,No,,94.0,44.0,549.0,0.0,0.0,0.0,0.0,455.0,0.0,0.0,18.9,1,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,24.07,18,QUEENS,6005 WOODHAVEN BLVD,
JOEL BRAVERMAN H. S.,1609 AVE J,11230.0,40.62530541,-73.96026905,5,100,,02046054,YESHIVAH OF FLATBUSH JOEL BRAVERMAN HIGH SCHOOL,14,17,1609 AVE J,BROOKLYN,36047,47,NY,36,11230,1837711001,180.0,10.0,Yes,,,,669.0,0.0,0.0,0.0,0.0,669.0,0.0,0.0,60.6,1,2,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,11.03,18,KINGS,1609 AVE J,
JOMERA DEVORAH HIGH SCHOOL,5801 16 AVE,11204.0,40.62589932,-73.99083539,1,92,,A9105071,TOMER DEVORAH HIGH SCHOOL,14,17,5801 16TH AVE,BROOKLYN,36047,47,NY,36,11204,7186333193,170.0,7.66,Yes,,,,259.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,43.3,2,2,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,5.98,18,KINGS,5801 16TH AVE,
KEW FOREST SCHOOL,11917 UNION TPKE,11375.0,40.71346299,-73.83317817,1,97,,A1903167,THE KEW-FOREST SCHOOL,2,17,119-17 UNION TPKE,FOREST HILLS,36081,81,NY,36,11375,7185513112,166.0,7.16,Yes,,18.0,17.0,226.0,0.0,48.0,26.0,38.0,57.0,0.0,39.0,32.6,1,3,3,0.0,23.07,12.5,18.26,27.4,0.0,18.75,6.38,30,QUEENS,119-17 UNION TPKE,
LEMAN MANHATTAN PREPARATORY LOWER SCHOOL,41 BROAD ST,10004.0,40.70556903,-74.01144786,0,100,,A0701599,LEMAN MANHATTAN PREPARATORY SCHOOL,-1,-1,41 BROAD ST,NEW YORK,36061,61,NY,36,10004,2122320266,161.0,8.0,Yes,,,,,,,,,,,,185.0,1,-1,3,,,,,,,,,30,NEW YORK,41 BROAD ST,
LINDEN SDA SCHOOL,13701 228 ST,11413.0,40.67330766,-73.74426383,4,92,,00943996,LINDEN SDA SCHOOL,6,13,13701 228TH ST,LAURELTON,36081,81,NY,36,11413,7185540734,188.0,7.0,Yes,,,,155.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,14.0,1,1,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11.07,28,QUEENS,13701 228TH ST,
LUTHERAN SCHOOL OF FLUSHING & BAYSIDE,36-01 BELL BLVD,11361.0,40.76779706,-73.77316715,0,97,,A9903219,LUTHERAN SCHOOL OF FLUSHING & BAYSIDE,2,13,3601 BELL BLVD,BAYSIDE,36081,81,NY,36,11361,7182255502,180.0,7.0,Yes,,65.0,6.0,104.0,0.0,11.0,3.0,5.0,14.0,0.0,6.0,4.8,1,1,2,0.0,28.2,7.69,12.82,35.89,0.0,15.38,8.12,20,QUEENS,3601 BELL BLVD,
MAGEN DAVID YESHIVA,2130 MCDONALD AVE,11223.0,40.60058678,-73.97274351,1,100,,A1903067,MAGEN DAVID YESH-ISAAC SHLM E,2,17,2130 MCDONALD AVE,BROOKLYN,36047,47,NY,36,11223,7186760215,180.0,8.33,Yes,110.0,214.0,153.0,1671.0,0.0,0.0,0.0,0.0,1457.0,0.0,0.0,242.0,1,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,6.02,18,KINGS,2130 MCDONALD AVE,
MAGEN DAVID YESHIVAH HIGH SCHOOL,7801 BAY PARKWAY,11214.0,40.60635905,-73.98921026,4,90,,A1903070,MAGEN DAVID YESHIVAH HIGH SCHOOL,6,17,7801 BAY PKWY,BROOKLYN,36047,47,NY,36,11214,7183314002,,,,,,,1204.0,0.0,0.0,0.0,0.0,1204.0,0.0,0.0,,1,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,18,KINGS,7801 BAY PKWY,
MARTIN LUTHER SCHOOL,6002 MASPETH AVE,11378.0,40.72310318,-73.90611283,7,100,,00938931,MARTIN LUTHER SCHOOL,11,17,6002 MASPETH AVE,MASPETH,36081,81,NY,36,11378,7188944000,180.0,6.5,No,,,,199.0,0.0,17.0,67.0,27.0,64.0,0.0,24.0,17.8,1,3,2,0.0,8.54,33.66,13.56,32.16,0.0,12.06,11.17,20,QUEENS,6002 MASPETH AVE,
MARYMOUNT SCHOOL OF NEW YORK,1026 5 AVE,10028.0,40.78000933,-73.96150877,4,91,,A0740102,MARYMOUNT SCHOOL OF NY,2,17,1026 5TH AVE,NEW YORK,36061,61,NY,36,10028,2127444486,147.0,7.16,Yes,,30.0,46.0,743.0,0.0,57.0,77.0,28.0,439.0,5.0,107.0,105.5,2,3,1,0.0,7.99,10.79,3.92,61.57,0.7,15.0,6.75,1,NEW YORK,1026 5TH AVE,
MASORES BAIS YAAKOV,1395 OCEAN AVE,11230.0,40.62833168,-73.95688082,5,100,,AA890662,MASORES BAIS YAAKOV,2,17,1395 OCEAN AVE,BROOKLYN,36047,47,NY,36,11230,7186922424,165.0,8.25,Yes,,72.0,44.0,787.0,0.0,0.0,0.0,0.0,715.0,0.0,0.0,53.4,2,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,13.38,18,KINGS,1395 OCEAN AVE,
MCCLANCY MEMORIAL HS,7106 31ST AVE,11370.0,40.75816165,-73.89608262,1,100,,00924907,MONSIGNOR MCCLANCY MEMORIAL HIGH SCHOOL,14,17,7106 31ST AVE,EAST ELMHURST,36081,81,NY,36,11370,8455050501,180.0,6.16,Yes,,,,710.0,7.0,28.0,291.0,25.0,354.0,1.0,4.0,44.9,1,2,1,0.98,3.94,40.98,3.52,49.85,0.14,0.56,15.81,1,QUEENS,7106 31ST AVE,
MERKAZ,1739 OCEAN AVE,11230.0,40.61962185,-73.95522951,1,93,,AA890662,MASORES BAIS YAAKOV,2,17,1395 OCEAN AVE,BROOKLYN,36047,47,NY,36,11230,7186922424,165.0,8.25,Yes,,72.0,44.0,787.0,0.0,0.0,0.0,0.0,715.0,0.0,0.0,53.4,2,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,13.38,18,KINGS,1395 OCEAN AVE,
MESILAS BAIS YAAKOV,420 19 ST,11215.0,40.6582707,-73.98531291,2,90,,A1502535,MESILAS BAIS YAAKOV,14,17,420 19TH ST,BROOKLYN,36047,47,NY,36,11215,7184994747,150.0,8.0,Yes,,,,279.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,35.0,2,2,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,7.97,18,KINGS,420 19TH ST,
MESIVTA MEOR HATORAH,300 MCDONALD AVE,11218.0,40.64672264,-73.98019479,3,94,,A9300684,BNOS YERUSMALAYIM,2,17,600 MCDONALD AVE,BROOKLYN,36047,47,NY,36,11218,7188710500,210.0,7.5,Yes,,121.0,138.0,1194.0,0.0,0.0,0.0,0.0,1073.0,0.0,0.0,47.1,2,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,22.78,18,KINGS,600 MCDONALD AVE,
MESIVTA NACHLAS YAKOV OF ADAS YEREIM,185 WILSON ST,11211.0,40.70674299,-73.96035378,4,92,,BB201207,YESHIVA JESODE HATORAH WILSON,2,17,195 WILSON ST,BROOKLYN,36047,47,NY,36,11211,7183027500,180.0,8.0,Yes,,125.0,48.0,911.0,0.0,0.0,0.0,0.0,786.0,0.0,0.0,20.0,1,3,3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,39.3,30,KINGS,195 WILSON ST,
MESIVTA RABBI CHAIM BERLIN H.S.,1585 CONEY ISLAND AVE,11230.0,40.61888112,-73.96404785,1,90,,A0902443,YESHIVA SHAARE TORAH,3,13,1680 CONEY ISLAND AVE,BROOKLYN,36047,47,NY,36,11230,7183399752,135.0,9.5,No,,,28.0,199.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,18.8,3,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.58,18,KINGS,1680 CONEY ISLAND AVE,
MESIVTA RABBI CHAIM BERLIN H.S.,1585 CONEY ISLAND AVE,11230.0,40.61888112,-73.96404785,1,90,,BB161782,YESHIVA SHAARE TORAH,2,17,1680 CONEY ISLAND AVE,BROOKLYN,36047,47,NY,36,11230,7186451196,180.0,8.0,Yes,,124.0,74.0,854.0,0.0,0.0,0.0,0.0,730.0,0.0,0.0,109.9,1,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,6.64,18,KINGS,1680 CONEY ISLAND AVE,
MONSEIGNOR FARRELL,2900 AMBOY ROAD,10306.0,40.56839322,-74.12571371,2,93,,00922604,MSGR FARRELL HIGH SCHOOL,14,17,2900 AMBOY RD,STATEN ISLAND,36085,85,NY,36,10306,7189872900,180.0,6.25,Yes,,,,783.0,0.0,16.0,67.0,9.0,691.0,0.0,0.0,53.0,3,2,1,0.0,2.04,8.55,1.14,88.25,0.0,0.0,14.77,1,RICHMOND,2900 AMBOY RD,
MONSIGNOR SCANLAN HS,915 HUTCHINSON RIVER PARKWAY,10465.0,40.82574524,-73.83670763,1,94,,00922659,MSGR SCANLAN HIGH SCHOOL,14,17,915 HUTCHINSON RIVER PKWY,BRONX,36005,5,NY,36,10465,7184300100,180.0,6.13,No,,,,487.0,5.0,7.0,308.0,131.0,34.0,0.0,2.0,24.0,1,2,1,1.02,1.43,63.24,26.89,6.98,0.0,0.41,20.29,1,BRONX,915 HUTCHINSON RIVER PKWY,
MOORE CATHOLIC HIGH SCHOOL,100 MERRILL AVE,10314.0,40.6101769,-74.16294313,1,100,,A2102685,MOORE CATHOLIC HIGH SCHOOL,14,17,100 MERRILL AVE,STATEN ISLAND,36085,85,NY,36,10314,7187619200,180.0,7.0,Yes,,,,422.0,1.0,13.0,70.0,37.0,294.0,0.0,7.0,27.4,1,2,1,0.23,3.08,16.58,8.76,69.66,0.0,1.65,15.4,1,RICHMOND,100 MERRILL AVE,
MOSDOS CHASIDA SQUARE T.T.Y.,105 HEYWARD ST,11206.0,40.70135641,-73.95663866,5,100,,BB041128,MOSDOS CHASIDEI SQUARE,2,17,105 HEYWARD ST,BROOKLYN,36047,47,NY,36,11206,7188520502,180.0,5.5,Yes,,26.0,15.0,323.0,0.0,0.0,0.0,0.0,297.0,0.0,0.0,23.8,3,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,12.47,18,KINGS,105 HEYWARD ST,
MOUNT ST. MICHAEL ACADEMY,4300 MURDOCK AVE,10466.0,40.89764904,-73.84261448,5,100,,X0921451,MOUNT ST MICHAEL ACADEMY,11,17,4300 MURDOCK AVE,BRONX,36005,5,NY,36,10466,7185156400,180.0,6.0,Yes,,,,696.0,0.0,16.0,261.0,365.0,51.0,3.0,0.0,61.0,3,3,1,0.0,2.29,37.5,52.44,7.32,0.43,0.0,11.4,1,BRONX,4300 MURDOCK AVE,
MT CARMEL/HOLY ROSARY SCHOOL,371 PLEASANT AVE,10035.0,40.797312,-73.93151397,2,100,,00922455,MOUNT CARMEL-HOLY ROSARY SCHOOL,3,13,371 PLEASANT AVE,NEW YORK,36061,61,NY,36,10035,2178767555,180.0,8.0,No,,,13.0,157.0,0.0,0.0,73.0,73.0,2.0,0.0,9.0,12.0,1,1,1,0.0,0.0,46.49,46.49,1.27,0.0,5.73,13.08,1,NEW YORK,371 PLEASANT AVE,
MUSLIM CENTER JUNIOR HIGH SCHOOL,13758 GERANIUM AVE,11355.0,40.75011354,-73.82198056,1,100,,A9903229,MUSLIM CENTER JUNIOR HIGH SCHOOL,3,13,13758 GERANIUM AVE,FLUSHING,36081,81,NY,36,11355,7184602127,180.0,5.5,No,,,10.0,142.0,0.0,123.0,0.0,0.0,19.0,0.0,0.0,12.4,1,1,2,0.0,86.61,0.0,0.0,13.38,0.0,0.0,11.45,17,QUEENS,13758 GERANIUM AVE,
NESIVOS BAIS YAAKOV,1334 OCEAN PARKWAY,11230.0,40.61606091,-73.96894076,0,91,,A2102693,NESIVOS BAIS YAAKOV BOYS,2,3,1334 OCEAN PKWY,BROOKLYN,36047,47,NY,36,11230,7189720804,176.0,8.16,No,,46.0,29.0,75.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,2,1,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,9.66,18,KINGS,1334 OCEAN PKWY,
NESIVOS BAIS YAAKOV,622 FOSTER AVE,11230.0,40.63024375,-73.97100207,3,100,,A0509133,NESIVOS BAIS YAAKOV,14,17,622 FOSTER AVE,BROOKLYN,36047,47,NY,36,11219,7189720804,180.0,10.98,Yes,,,,91.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,10.0,3,2,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,9.1,18,KINGS,622 FOSTER AVE,
NESIVOS BAIS YAAKOV,622 FOSTER AVE,11230.0,40.63024375,-73.97100207,3,100,,A2102691,NESIVOS BAIS YAAKOV,6,13,622 FOSTER AVE,BROOKLYN,36047,47,NY,36,11230,7189720804,176.0,8.5,Yes,,,,227.0,,,,,161.0,,,5.4,2,1,2,,,,,70.92,,,42.03,18,KINGS,622 FOSTER AVE,
NEW AMSTERDAM SCHOOL,62 AVE B,10009.0,40.72350805,-73.98236539,0,100,,BB162057,NEW AMSTERDAM SCHOOL,3,9,62 AVE B,NEW YORK,36061,61,NY,36,10009,2125331820,180.0,6.0,No,,,20.0,35.0,,,,,,,,14.5,1,1,3,,,,,,,,2.41,30,NEW YORK,62 AVE B,
NEW COVENANT CHRISTIAN SCHOOL,1497 NEEDHAM AVE,10469.0,40.88008208,-73.84820359,4,100,,A9104949,NEW COVENANT CHRISTIAN SCHOOL,2,17,1497 NEEDHAM AVE,BRONX,36005,5,NY,36,10469,7185198884,180.0,6.33,Yes,,32.0,11.0,145.0,0.0,1.0,3.0,109.0,0.0,0.0,0.0,12.4,1,3,2,0.0,0.88,2.65,96.46,0.0,0.0,0.0,9.11,8,BRONX,1497 NEEDHAM AVE,
NEW GRACE CENTER,650 LIVONIA AVE,11207.0,40.66490514,-73.89291227,1,100,,A9104831,"NEW GRACE CENTER, INC.",2,13,650 LIVONIA AVE,BROOKLYN,36047,47,NY,36,11207,3472008236,180.0,6.5,Yes,,10.0,15.0,116.0,0.0,0.0,4.0,102.0,0.0,0.0,0.0,15.0,1,1,2,0.0,0.0,3.77,96.22,0.0,0.0,0.0,7.06,5,KINGS,650 LIVONIA AVE,
NEW HEIGHTS ACADEMY CHARTER SCHOOL,1818 AMSTERDAM AVE,10031.0,40.82849143,-73.94523816,0,91,,A1702618,MANHATTAN STAR ACADEMY,1,1,180 AMSTERDAM AVE,NEW YORK,36061,61,NY,36,10023,6467953850,180.0,5.5,Yes,118.0,,,118.0,0.0,6.0,30.0,21.0,45.0,16.0,0.0,16.0,1,3,3,0.0,5.08,25.42,17.79,38.13,13.55,0.0,7.37,30,NEW YORK,180 AMSTERDAM AVE,
NOTRE DAME ACADEMY HIGH SCHOOL OF STATEN ISLAND,134 HOWARD AVE,10301.0,40.62708389,-74.08886658,4,100,,00920232,NOTRE DAME ACADEMY HIGH SCHOOL,14,17,134 HOWARD AVE,STATEN ISLAND,36085,85,NY,36,10301,7184478878,180.0,6.75,No,,,,402.0,1.0,24.0,36.0,12.0,326.0,0.0,3.0,20.8,2,2,1,0.24,5.97,8.95,2.98,81.09,0.0,0.74,19.32,1,RICHMOND,134 HOWARD AVE,
NR CAFETERIA SERVICES: ST CATHARINE ACADEMY,2250 WILLIAMSBRIDGE ROAD,10469.0,40.85879698,-73.85699007,1,96,,00919373,ST CATHARINE ACADEMY,14,17,2250 WILLIAMSBRIDGE RD,BRONX,36005,5,NY,36,10469,7188822882,180.0,6.0,Yes,,,,348.0,0.0,13.0,165.0,86.0,84.0,0.0,0.0,21.1,2,2,1,0.0,3.73,47.41,24.71,24.13,0.0,0.0,16.49,1,BRONX,2250 WILLIAMSBRIDGE RD,
OUR LADY OF FATIMA SCHOOL,2538 80 ST,11370.0,40.76256266,-73.88854555,1,91,,00925194,OUR LADY OF FATIMA SCHOOL,2,13,2538 80TH ST,EAST ELMHURST,36081,81,NY,36,11370,7184297031,180.0,7.16,Yes,,18.0,25.0,277.0,2.0,9.0,218.0,5.0,3.0,3.0,19.0,16.5,1,1,1,0.77,3.47,84.16,1.93,1.15,1.15,7.33,15.69,1,QUEENS,2538 80TH ST,
OUR LADY OF GRACE CATHOLIC ACADEMY,385 AVE W,11223.0,40.5928866,-73.96863832,5,100,,BB061130,OUR LADY OF GRACE CATHOLIC ACADEMY,2,13,385 AVE W,BROOKLYN,36047,47,NY,36,11223,7183752081,181.0,7.0,Yes,,10.0,19.0,199.0,0.0,2.0,44.0,7.0,136.0,0.0,0.0,15.0,1,1,1,0.0,1.05,23.28,3.7,71.95,0.0,0.0,12.6,1,KINGS,385 AVE W,
OUR LADY OF GRACE SCHOOL,3981 BRONXWOOD AVE,10466.0,40.88620285,-73.85459818,3,100,,00921597,OUR LADY OF GRACE SCHOOL,2,13,3981 BRONXWOOD AVE,BRONX,36005,5,NY,36,10466,7185479918,175.0,7.0,,,120.0,36.0,356.0,0.0,0.0,15.0,201.0,20.0,0.0,0.0,10.0,1,1,1,0.0,0.0,6.35,85.16,8.47,0.0,0.0,23.6,1,BRONX,3981 BRONXWOOD AVE,
OUR LADY OF HOPE CATHOLIC ACADEMY,6121 71ST ST,11379.0,40.72073897,-73.88680836,0,100,,BB201277,OUR LADY OF HOPE CATHOLIC ACADEMY,2,13,6121 71ST ST,MIDDLE VILLAGE,36081,81,NY,36,11379,7184583535,180.0,6.0,No,,52.0,68.0,544.0,0.0,4.0,14.0,4.0,460.0,0.0,10.0,26.1,1,1,1,0.0,0.81,2.84,0.81,93.49,0.0,2.03,18.85,1,QUEENS,6121 71ST ST,
OUR LADY OF MOUNT CARMEL SCHOOL,2465 BATHGATE AVE,10458.0,40.85823643,-73.8886702,3,100,,00921575,OUR LADY OF MT CARMEL SCHOOL,2,13,2465 BATHGATE AVE,BRONX,36005,5,NY,36,10458,7182956080,180.0,7.0,Yes,,86.0,15.0,249.0,1.0,3.0,113.0,25.0,11.0,1.0,9.0,16.1,1,1,1,0.61,1.84,69.32,15.33,6.74,0.61,5.52,10.12,1,BRONX,2465 BATHGATE AVE,
OUR LADY OF PERPETUAL HELP CATHOLIC ACADEMY OF BROOKLYN,5902 6 AVE,11220.0,40.63863743,-74.0134649,3,91,,00924816,OUR LADY OF PERPETUAL HELP CATHOLIC ACADEMY OF BRO,2,13,5902 6TH AVE,BROOKLYN,36047,47,NY,36,11220,7184398067,180.0,7.0,No,,10.0,12.0,166.0,0.0,45.0,94.0,4.0,6.0,2.0,5.0,11.0,1,1,1,0.0,28.84,60.25,2.56,3.84,1.28,3.2,14.18,1,KINGS,5902 6TH AVE,
OUR LADY OF PERPETUAL HELP SCHOOL,11110 115 ST,11420.0,40.67926669,-73.82457517,0,92,,00925729,OUR LADY OF PERPETUAL HELP CATHOLIC ACADEMY,2,13,11110 115TH ST,SOUTH OZONE PARK,36081,81,NY,36,11420,7188434184,180.0,7.0,Yes,,54.0,21.0,377.0,,,,,,,,20.9,-1,1,1,,,,,,,,15.45,1,QUEENS,11110 115TH ST,
OUR LADY OF REFUGE SCHOOL,2708 BRIGGS AVE,10458.0,40.86637464,-73.89162848,2,100,,A9903238,OUR LADY OF REFUGE SCHOOL,2,13,2708 BRIGGS AVE,BRONX,36005,5,NY,36,10458,1718367308,180.0,7.0,No,,12.0,21.0,204.0,0.0,8.0,151.0,20.0,9.0,2.0,2.0,10.4,1,1,1,0.0,4.16,78.64,10.41,4.68,1.04,1.04,18.46,1,BRONX,2708 BRIGGS AVE,
OUR LADY OF SORROWS SCHOOL,3534 105 ST,11368.0,40.75486913,-73.86320574,2,92,,00924871,OUR LADY OF SORROWS CATHOLIC ACADEMY,2,13,3534 105TH ST,CORONA,36081,81,NY,36,11368,7184265517,180.0,7.0,No,,66.0,19.0,299.0,0.0,0.0,231.0,2.0,0.0,0.0,0.0,9.9,1,1,1,0.0,0.0,99.14,0.85,0.0,0.0,0.0,23.53,1,QUEENS,3534 105TH ST,
OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY,7255 AUSTIN ST,11375.0,40.71869768,-73.84120249,1,100,,00925092,OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY,3,13,7255 AUSTIN ST,FOREST HILLS,36081,81,NY,36,11375,7182632622,177.0,7.0,Yes,,,33.0,284.0,0.0,34.0,142.0,37.0,71.0,0.0,0.0,16.5,1,1,1,0.0,11.97,50.0,13.02,25.0,0.0,0.0,17.21,1,QUEENS,7255 AUSTIN ST,
OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY,7255 AUSTIN ST,11375.0,40.71869768,-73.84120249,1,100,,BB162015,OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY,2,13,7255 AUSTIN ST,FOREST HILLS,36081,81,NY,36,11375,7182632622,177.0,7.08,No,,51.0,32.0,334.0,0.0,66.0,103.0,16.0,80.0,2.0,16.0,17.8,1,1,1,0.0,23.32,36.39,5.65,28.26,0.7,5.65,15.89,1,QUEENS,7255 AUSTIN ST,
PHYL'S ACADEMY PREP SCHOOL,3520 TILDEN AVE,11203.0,40.647073,-73.94405791,3,100,,A9104979,PHYL'S ACADEMY PREP,2,10,3520 TILDEN AVE,BROOKLYN,36047,47,NY,36,11203,7184699400,180.0,6.75,Yes,116.0,90.0,6.0,228.0,0.0,0.0,8.0,87.0,8.0,0.0,35.0,7.9,1,1,3,0.0,0.0,5.79,63.04,5.79,0.0,25.36,17.46,30,KINGS,3520 TILDEN AVE,
POLY PREP COUNTRY DAY SCHOOL FS (PPC),9216 7 AVE,11228.0,40.61231054,-74.02373162,4,91,,00937803,POLY PREP COUNTRY DAY SCHOOL,2,17,9216 7TH AVE,BROOKLYN,36047,47,NY,36,11228,9176935569,168.0,6.5,Yes,,67.0,39.0,1148.0,1.0,23.0,64.0,146.0,610.0,45.0,192.0,127.9,1,3,3,0.09,2.12,5.92,13.5,56.42,4.16,17.76,8.45,30,KINGS,9216 7TH AVE,
PRESTON HIGH SCHOOL,2780 SCHURZ AVE,10465.0,40.81424893,-73.81933727,0,100,,00921553,PRESTON HIGH SCHOOL,14,17,2780 SCHURZ AVE,BRONX,36005,5,NY,36,10465,7188639134,180.0,6.33,Yes,,,,347.0,0.0,17.0,165.0,37.0,113.0,1.0,14.0,31.1,2,2,1,0.0,4.89,47.55,10.66,32.56,0.28,4.03,11.15,1,BRONX,2780 SCHURZ AVE,
RABBI SOL KLUGER SCHOOL,1876 50 ST,11204.0,40.62660604,-73.97970004,1,91,,BB161605,YESHIVA & MESIFTA CHASAN SOFER,2,17,1876 50TH ST,BROOKLYN,36047,47,NY,36,11204,7182361171,180.0,9.0,Yes,,56.0,37.0,441.0,0.0,0.0,0.0,0.0,385.0,0.0,0.0,27.5,3,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,14.0,18,KINGS,1876 50TH ST,
RABBINICAL SEMINARY OF AMERICA,7601 147 ST,11367.0,40.72321356,-73.81769456,4,92,,BB081365,MESIVTA CHOFETZ CHAIM,14,17,7601 147TH ST,FLUSHING,36081,81,NY,36,11367,7182631445,220.0,10.98,Yes,,,,114.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,10.6,3,2,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.75,18,QUEENS,7601 147TH ST,
RAZI SCHOOL,55-11 QUEENS BLVD,11377.0,40.74212182,-73.90971994,3,97,,A9702456,RAZI SCHOOL,2,17,5511 QUEENS BLVD,WOODSIDE,36081,81,NY,36,11377,7187790711,180.0,7.16,Yes,,31.0,8.0,134.0,0.0,43.0,3.0,4.0,45.0,1.0,7.0,20.3,1,3,2,0.0,41.74,2.91,3.88,43.68,0.97,6.79,5.07,17,QUEENS,5511 QUEENS BLVD,
RED STORM CAFE,2121 CRESCENT ST,11105.0,40.78001294,-73.91291088,3,100,,00926336,ST JOHN'S PREPARATORY SCHOOL,14,17,2121 CRESCENT ST,ASTORIA,36081,81,NY,36,11105,7187217200,180.0,6.5,Yes,,,,624.0,3.0,83.0,1.0,52.0,454.0,1.0,30.0,44.0,1,2,1,0.48,13.3,0.16,8.33,72.75,0.16,4.8,14.18,1,QUEENS,2121 CRESCENT ST,
ROSALYN YALOW CHARTER SCHOOL,650 GRAND CONCOURSE,10451.0,40.82085854,-73.92606286,0,100,,00922273,CARDINAL HAYES HIGH SCHOOL,14,17,650 GRAND CONCOURSE,BRONX,36005,5,NY,36,10451,7182926100,180.0,6.5,Yes,,,,748.0,3.0,7.0,398.0,324.0,8.0,0.0,8.0,44.0,3,2,1,0.4,0.93,53.2,43.31,1.06,0.0,1.06,17.0,1,BRONX,650 GRAND CONCOURSE,
S.T.E.P.,2555 NOSTRAND AVE,11210.0,40.62256031,-73.94606698,2,100,,A1903208,YAD YISROEL,1,1,2555 NOSTRAND AVE,BROOKLYN,36047,47,NY,36,11210,7186506400,180.0,6.0,No,43.0,,,43.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,8.0,1,3,3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,5.37,30,KINGS,2555 NOSTRAND AVE,
SAINT BRIGID CATHOLIC ACADEMY,438 GROVE ST,11237.0,40.70173732,-73.91232828,0,100,,00924634,ST BRIGID SCHOOL,2,13,438 GROVE ST,BROOKLYN,36047,47,NY,36,11237,7188211477,180.0,7.0,Yes,,34.0,20.0,217.0,2.0,1.0,156.0,1.0,21.0,0.0,2.0,13.8,1,1,1,1.09,0.54,85.24,0.54,11.47,0.0,1.09,13.26,1,KINGS,438 GROVE ST,
SAINT FRANCES DE CHANTAL SCHOOL,2965 HARDING AVE,10465.0,40.81645995,-73.81340264,1,94,,00921382,ST FRANCES DE CHANTAL SCHOOL,2,13,2962 HARDING AVE,BRONX,36005,5,NY,36,10465,7188925359,181.0,6.5,Yes,,132.0,30.0,364.0,6.0,6.0,107.0,14.0,91.0,0.0,8.0,11.0,1,1,1,2.58,2.58,46.12,6.03,39.22,0.0,3.44,21.09,1,BRONX,2962 HARDING AVE,
