SchoolName,Address,ZipCode,LATITUDE,LONGITUDE,COUNTA of Level,Matched School,Matched Score,NCES School ID,State School ID,NCES District ID,State District ID,Low Grade,High Grade,School Name,District,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code,Locale,Charter,Students,Teachers,Student Teacher Ratio,Free Lunch,Reduced Lunch,Directly Certified,Type,Status
"ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL, ACADEMY OF HOSPITALI",911 FLATBUSH AVENUE BROOKLYN,11226.0,40.64978002,-73.95854985,1,911 FLATBUSH AVENUE ,95,360009505714,NY-331700010000-331700011537,3600095,NY-331700010000,09,12,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,NEW YORK CITY GEOGRAPHIC DISTRICT #17,Kings County,911 FLATBUSH AVENUE ,BROOKLYN,NY,11226,,(718)564-2470,11,City: Large,No,463.0,28.61000,16.1800000,388.00000,6.00000,–,Regular,Open
"ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL, ACADEMY OF HOSPITALI",911 FLATBUSH AVENUE BROOKLYN,11226.0,40.64978002,-73.95854985,1,911 FLATBUSH AVENUE ,95,360009505516,NY-331700010000-331700011543,3600095,NY-331700010000,06,12,SCIENCE TECHNOLOGY & RESEARCH EARLY COLLEGE,NEW YORK CITY GEOGRAPHIC DISTRICT #17,Kings County,911 FLATBUSH AVENUE ,BROOKLYN,NY,11226,,(718)564-2540,11,City: Large,No,610.0,43.39000,14.0600000,415.00000,22.00000,–,Regular,Open
"ACADEMY FOR YOUNG WRITERS, P.S. K053, SPRING CREEK COMMUNITY SCHOOL",1065 ELTON STREET BROOKLYN,11239.0,40.65742639,-73.87473417,2,1065 ELTON STREET ,90,360012005884,NY-331900010000-331900011404,3600120,NY-331900010000,06,12,ACADEMY FOR YOUNG WRITERS,NEW YORK CITY GEOGRAPHIC DISTRICT #19,Kings County,1065 ELTON STREET ,BROOKLYN,NY,11208,,(718)688-7230,11,City: Large,No,483.0,51.89000,9.3100000,428.00000,18.00000,–,Regular,Open
"ACADEMY FOR YOUNG WRITERS, P.S. K053, SPRING CREEK COMMUNITY SCHOOL",1065 ELTON STREET BROOKLYN,11239.0,40.65742639,-73.87473417,2,1065 ELTON STREET ,90,360012006339,NY-331900010000-331900011422,3600120,NY-331900010000,06,12,SPRING CREEK COMMUNITY SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #19,Kings County,1065 ELTON STREET ,BROOKLYN,NY,11239,,(718)688-7200,11,City: Large,No,468.0,44.25000,10.5800000,392.00000,16.00000,–,Regular,Open
"ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY, INTERNATIONAL COMMUNITY HIGH SCHOOL, P.S. / I.S. 224",345 BROOK AVENUE BRONX,10454.0,40.81003314,-73.91779159,0,345 BROOK AVENUE ,95,360008405920,NY-320700010000-320700010343,3600084,NY-320700010000,06,08,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,NEW YORK CITY GEOGRAPHIC DISTRICT # 7,Bronx County,345 BROOK AVENUE ,BRONX,NY,10454,,(718)292-3883,11,City: Large,No,303.0,22.00000,13.7700000,280.00000,1.00000,–,Regular,Open
"ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY, INTERNATIONAL COMMUNITY HIGH SCHOOL, P.S. / I.S. 224",345 BROOK AVENUE BRONX,10454.0,40.81003314,-73.91779159,0,345 BROOK AVENUE ,95,360008405873,NY-320700010000-320700011334,3600084,NY-320700010000,09,12,INTERNATIONAL COMMUNITY HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 7,Bronx County,345 BROOK AVENUE ,BRONX,NY,10454,,(718)665-4128,11,City: Large,No,330.0,31.50000,10.4800000,326.00000,1.00000,–,Regular,Open
"ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY, INTERNATIONAL COMMUNITY HIGH SCHOOL, P.S. / I.S. 224",345 BROOK AVENUE BRONX,10454.0,40.81003314,-73.91779159,0,345 BROOK AVENUE ,95,360008405520,NY-320700010000-320700010224,3600084,NY-320700010000,06,08,PS/IS 224,NEW YORK CITY GEOGRAPHIC DISTRICT # 7,Bronx County,345 BROOK AVENUE ,BRONX,NY,10454,,(718)665-9804,11,City: Large,No,198.0,24.00000,8.2500000,189.00000,0.00000,–,Regular,Open
ACADEMY OF ARTS AND LETTERS,344 MONROE STREET BROOKLYN,11216.0,40.68606863,-73.94522937,2,344 MONROE STREET ,90,360009105901,NY-331300010000-331300011492,3600091,NY-331300010000,PK,08,ACADEMY OF ARTS AND LETTERS,NEW YORK CITY GEOGRAPHIC DISTRICT #13,Kings County,344 MONROE STREET ,BROOKLYN,NY,11216,,(718)789-3962,11,City: Large,No,729.0,48.94000,14.9000000,273.00000,11.00000,–,Regular,Open
ALL CITY LEADERSHIP SECONDARY SCHOOL,321 PALMETTO STREET BROOKLYN,11237.0,40.69736279,-73.91317072,0,321 PALMETTO STREET ,95,360009705537,NY-333200010000-333200011554,3600097,NY-333200010000,06,12,ALL CITY LEADERSHIP SECONDARY SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #32,Kings County,321 PALMETTO STREET ,BROOKLYN,NY,11237,,(718)246-6500,11,City: Large,No,421.0,32.00000,13.1600000,289.00000,37.00000,–,Regular,Open
"AMISTAD DUAL LANGUAGE SCHOOL, MUSCOTA",4862 BROADWAY MANHATTAN,10034.0,40.86669974,-73.92394722,3,4862 BROADWAY,90,360008305643,NY-310600010000-310600010311,3600083,NY-310600010000,KG,08,AMISTAD DUAL LANGUAGE SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 6,New York County,4862 BROADWAY,NEW YORK,NY,10034,,(212)544-8021,11,City: Large,No,392.0,40.77000,9.6100000,326.00000,8.00000,–,Regular,Open
"AMISTAD DUAL LANGUAGE SCHOOL, MUSCOTA",4862 BROADWAY MANHATTAN,10034.0,40.86669974,-73.92394722,3,4862 BROADWAY,90,360008305644,NY-310600010000-310600010314,3600083,NY-310600010000,KG,05,MUSCOTA,NEW YORK CITY GEOGRAPHIC DISTRICT # 6,New York County,4862 BROADWAY,NEW YORK,NY,10034,,(212)544-0614,11,City: Large,No,248.0,20.99000,11.8200000,72.00000,0.00000,–,Regular,Open
"ANDRIES HUDDE, I. S. 381",2500 NOSTRAND AVENUE BROOKLYN,11210.0,40.62355402,-73.94627871,4,2500 NOSTRAND AVENUE ,95,360015302755,NY-332200010000-332200010240,3600153,NY-332200010000,06,08,ANDRIES HUDDE,NEW YORK CITY GEOGRAPHIC DISTRICT #22,Kings County,2500 NOSTRAND AVENUE ,BROOKLYN,NY,11210,4731.0,(718)253-3700,11,City: Large,No,423.0,38.15000,11.0900000,367.00000,19.00000,–,Regular,Open
"ANDRIES HUDDE, I. S. 381",2500 NOSTRAND AVENUE BROOKLYN,11210.0,40.62355402,-73.94627871,4,2500 NOSTRAND AVENUE ,95,360015304070,NY-332200010000-332200010381,3600153,NY-332200010000,06,08,IS 381,NEW YORK CITY GEOGRAPHIC DISTRICT #22,Kings County,2500 NOSTRAND AVENUE ,BROOKLYN,NY,11210,5109.0,(718)338-1534,11,City: Large,No,291.0,25.67000,11.3400000,205.00000,6.00000,–,Regular,Open
"ARCHER ELEMENTARY SCHOOL, BRONX LITTLE SCHOOL, PS 536",1827 ARCHER STREET BRONX,10460.0,40.837624,-73.8660345,1,1827 ARCHER STREET ,95,360009006266,NY-321200010000-321200010531,3600090,NY-321200010000,PK,05,ARCHER ELEMENTARY SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #12,Bronx County,1827 ARCHER STREET ,BRONX,NY,10460,6203.0,(718)828-3791,11,City: Large,No,326.0,30.97000,10.5300000,287.00000,12.00000,–,Regular,Open
"ARCHER ELEMENTARY SCHOOL, BRONX LITTLE SCHOOL, PS 536",1827 ARCHER STREET BRONX,10460.0,40.837624,-73.8660345,1,1827 ARCHER STREET ,95,360009003847,NY-321200010000-321200011691,3600090,NY-321200010000,PK,05,BRONX LITTLE SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #12,Bronx County,1827 ARCHER STREET ,BRONX,NY,10460,,(718)792-2650,11,City: Large,No,310.0,24.00000,12.9200000,280.00000,11.00000,–,Regular,Open
"ARCHER ELEMENTARY SCHOOL, BRONX LITTLE SCHOOL, PS 536",1827 ARCHER STREET BRONX,10460.0,40.837624,-73.8660345,1,1827 ARCHER STREET ,95,360009006261,NY-321200010000-321200010536,3600090,NY-321200010000,PK,05,PS 536,NEW YORK CITY GEOGRAPHIC DISTRICT #12,Bronx County,1827 ARCHER STREET ,BRONX,NY,10460,6203.0,(718)931-4270,11,City: Large,No,271.0,21.00000,12.9000000,253.00000,3.00000,–,Regular,Open
"AUTOMOTIVE HIGH SCHOOL YABC, AUTOMOTIVE HIGH SCHOOL",50 BEDFORD AVENUE BROOKLYN,11222.0,40.7219738,-73.9532809,2,50 BEDFORD AVENUE ,90,360011901913,NY-331400010000-331400011610,3600119,NY-331400010000,09,12,A-TECH HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #14,Kings County,50 BEDFORD AVENUE ,BROOKLYN,NY,11222,3906.0,(718)218-9301,11,City: Large,No,374.0,37.69000,9.9200000,317.00000,12.00000,–,Vocational,Open
AUXILLARY SERVICES @ TENZER,198 FORSYTH STREET MANHATTAN,10002.0,40.72251268,-73.99072826,1,198 FORSYTH STREET ,90,360007606296,NY-310100010000-310100011458,3600076,NY-310100010000,09,12,FORSYTHE SATELLITE ACADEMY,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,New York County,198 FORSYTH STREET ,NEW YORK,NY,10002,,(212)677-8900,11,City: Large,No,142.0,14.96000,9.4900000,122.00000,0.00000,–,Regular,Open
"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",890 BROADWAY 19TH MANHATTAN,10003.0,40.73859694,-73.98991048,0,890 BROADWAY,90,360007705112,NY-310200010000-310200011442,3600077,NY-310200010000,04,08,BALLET TECH/NYC PUBLIC SCHOOL FOR DANCE,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,New York County,890 BROADWAY,NEW YORK,NY,10003,,(212)254-1803,11,City: Large,No,116.0,13.40000,8.6600000,46.00000,8.00000,–,Regular,Open
BARD HIGH SCHOOL EARLY COLLEGE,525 E HOUSTON STREET MANHATTAN,10002.0,40.71902192,-73.97589113,1,525 E HOUSTON STREET ,90,360007605621,NY-310100010000-310100011696,3600076,NY-310100010000,09,12,BARD HIGH SCHOOL EARLY COLLEGE,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,New York County,525 E HOUSTON STREET ,NEW YORK,NY,10002,,(212)995-8479,11,City: Large,No,564.0,48.63000,11.6000000,265.00000,27.00000,–,Regular,Open
"BATTERY PARK CITY SCHOOL, PS 94",55 BATTERY PLACE MANHATTAN,10280.0,40.70643282,-74.01781763,1,55 BATTERY PL,90,360007706158,NY-310200010000-310200010276,3600077,NY-310200010000,PK,08,BATTERY PARK CITY SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,New York County,55 BATTERY PL,NEW YORK,NY,10011,,(212)266-5800,11,City: Large,No,710.0,55.94000,12.6900000,99.00000,13.00000,–,Regular,Open
"BATTERY PARK CITY SCHOOL, PS 94",55 BATTERY PLACE MANHATTAN,10280.0,40.70643282,-74.01781763,1,55 BATTERY PL,90,360013504596,NY-307500010000-307500011094,3600135,NY-307500010000,KG,12,PS 94,NYC SPECIAL SCHOOLS - DISTRICT 75,New York County,55 BATTERY PL,NEW YORK,NY,10280,,(212)266-5810,11,City: Large,No,419.0,76.46000,5.4800000,354.00000,2.00000,–,Special Education,Open
BAYCHESTER ACADEMY,3500 EDSON AVENUE BRONX,10466.0,40.88114655,-73.8397534,0,3500 EDSON AVENUE ,95,360008806144,NY-321100010000-321100010169,3600088,NY-321100010000,PK,05,BAYCHESTER ACADEMY,NEW YORK CITY GEOGRAPHIC DISTRICT #11,Bronx County,3500 EDSON AVENUE ,BRONX,NY,10466,,(718)325-1138,11,City: Large,No,302.0,23.63000,12.7800000,231.00000,7.00000,–,Regular,Open
BEDFORD ACADEMY HIGH SCHOOL,1119 BEDFORD AVENUE BROOKLYN,11216.0,40.68537269,-73.9543018,1,1119 BEDFORD AVENUE ,95,360009105508,NY-331300010000-331300011595,3600091,NY-331300010000,09,12,BEDFORD ACADEMY HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #13,Kings County,1119 BEDFORD AVENUE ,BROOKLYN,NY,11217,,(718)398-3061,11,City: Large,No,381.0,26.56000,14.3400000,237.00000,30.00000,–,Regular,Open
"BEDFORD PARK ELEMENTARY SCHOOL, PS 469-BRONX SCHOOL FOR CONTINUOUS LEARNING",3177 WEBSTER AVENUE BRONX,10467.0,40.87254479,-73.87537234,1,3177 WEBSTER AVENUE ,95,360008706507,NY-321000010000-321000010077,3600087,NY-321000010000,PK,05,BEDFORD PARK ELEMENTARY SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #10,Bronx County,3177 WEBSTER AVENUE ,BRONX,NY,10467,,(718)696-6400,11,City: Large,No,470.0,42.34000,11.1000000,398.00000,2.00000,–,Regular,Open
"BOYS & GIRLS H.S., RESEARCH AND SERVICE HIGH SCHOOL, P2G @ D.R.E.A.M.S., NELSON MANDELA HIGH SCHOOL,",1700 FULTON STREET BROOKLYN,11213.0,40.67943315,-73.93240703,0,1700 FULTON STREET ,90,360009401921,NY-331600010000-331600011455,3600094,NY-331600010000,09,12,BOYS AND GIRLS HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #16,Kings County,1700 FULTON STREET ,BROOKLYN,NY,11213,1299.0,(718)467-1700,11,City: Large,No,403.0,47.90000,8.4100000,348.00000,7.00000,–,Regular,Open
"BOYS & GIRLS H.S., RESEARCH AND SERVICE HIGH SCHOOL, P2G @ D.R.E.A.M.S., NELSON MANDELA HIGH SCHOOL,",1700 FULTON STREET BROOKLYN,11213.0,40.67943315,-73.93240703,0,1700 FULTON STREET ,90,360009406509,NY-331600010000-331600011765,3600094,NY-331600010000,09,12,NELSON MANDELA HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #16,Kings County,1700 FULTON STREET ,BROOKLYN,NY,11213,,(718)804-6805,11,City: Large,No,133.0,18.44000,7.2100000,117.00000,0.00000,–,Regular,Open
"BOYS & GIRLS H.S., RESEARCH AND SERVICE HIGH SCHOOL, P2G @ D.R.E.A.M.S., NELSON MANDELA HIGH SCHOOL,",1700 FULTON STREET BROOKLYN,11213.0,40.67943315,-73.93240703,0,1700 FULTON STREET ,90,360009406408,NY-331600010000-331600011669,3600094,NY-331600010000,10,12,RESEARCH AND SERVICE HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #16,Kings County,1700 FULTON STREET ,BROOKLYN,NY,11213,,(718)804-6800,11,City: Large,No,181.0,17.67000,10.2400000,152.00000,0.00000,–,Regular,Open
"BRIGHTER CHOICE COMMUNITY SCHOOL, P.S. K140",280 HART STREET BROOKLYN,11206.0,40.69407839,-73.94074395,2,280 HART STREET ,90,360009406049,NY-331600010000-331600010627,3600094,NY-331600010000,PK,05,BRIGHTER CHOICE COMMUNITY SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #16,Kings County,280 HART STREET ,BROOKLYN,NY,11206,,(718)574-2378,11,City: Large,No,286.0,21.00000,13.6200000,168.00000,5.00000,–,Regular,Open
"BRONX ACADEMY FOR SOFTWARE ENGINEERI, HIGH SCHOOL FOR ENERGY AND TECHNOLOGY, CROTONA INTERNATIONAL H",2474 CROTONA AVENUE BRONX,10458.0,40.85569163,-73.88271344,0,2474 CROTONA AVENUE ,95,360008706396,NY-321000010000-321000011264,3600087,NY-321000010000,09,12,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),NEW YORK CITY GEOGRAPHIC DISTRICT #10,Bronx County,2474 CROTONA AVENUE ,BRONX,NY,10458,,(718)733-6024,11,City: Large,No,387.0,42.40000,9.1300000,327.00000,1.00000,–,Vocational,Open
"BRONX ACADEMY FOR SOFTWARE ENGINEERI, HIGH SCHOOL FOR ENERGY AND TECHNOLOGY, CROTONA INTERNATIONAL H",2474 CROTONA AVENUE BRONX,10458.0,40.85569163,-73.88271344,0,2474 CROTONA AVENUE ,95,360008706247,NY-321000010000-321000011524,3600087,NY-321000010000,09,12,CROTONA INTERNATIONAL HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #10,Bronx County,2474 CROTONA AVENUE ,BRONX,NY,10458,,(718)561-8701,11,City: Large,No,306.0,28.00000,10.9300000,233.00000,0.00000,–,Vocational,Open
"BRONX ACADEMY FOR SOFTWARE ENGINEERI, HIGH SCHOOL FOR ENERGY AND TECHNOLOGY, CROTONA INTERNATIONAL H",2474 CROTONA AVENUE BRONX,10458.0,40.85569163,-73.88271344,0,2474 CROTONA AVENUE ,95,360008706364,NY-321000010000-321000011565,3600087,NY-321000010000,09,12,HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,NEW YORK CITY GEOGRAPHIC DISTRICT #10,Bronx County,2474 CROTONA AVENUE ,BRONX,NY,10458,,(718)733-3080,11,City: Large,No,415.0,36.94000,11.2300000,381.00000,1.00000,–,Vocational,Open
"BRONX ALLIANCE MIDDLE SCHOOL, BAYCHESTER MIDDLE SCHOOL, ONE WORLD MIDDLE SCHOOL OF EDENWALD",3750 BAYCHESTER AVENUE BRONX,10466.0,40.88494632,-73.84052176,1,3750 BAYCHESTER AVENUE ,95,360008806249,NY-321100010000-321100010532,3600088,NY-321100010000,06,08,BAYCHESTER MIDDLE SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #11,Bronx County,3750 BAYCHESTER AVENUE ,BRONX,NY,10466,,(718)547-1890,11,City: Large,No,267.0,23.26000,11.4800000,226.00000,4.00000,–,Regular,Open
"BRONX ALLIANCE MIDDLE SCHOOL, BAYCHESTER MIDDLE SCHOOL, ONE WORLD MIDDLE SCHOOL OF EDENWALD",3750 BAYCHESTER AVENUE BRONX,10466.0,40.88494632,-73.84052176,1,3750 BAYCHESTER AVENUE ,95,360008806399,NY-321100010000-321100010355,3600088,NY-321100010000,06,08,BRONX ALLIANCE MIDDLE SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #11,Bronx County,3750 BAYCHESTER AVENUE ,BRONX,NY,10466,,(718)652-2060,11,City: Large,No,214.0,25.99000,8.2300000,180.00000,3.00000,–,Regular,Open
"BRONX ALLIANCE MIDDLE SCHOOL, BAYCHESTER MIDDLE SCHOOL, ONE WORLD MIDDLE SCHOOL OF EDENWALD",3750 BAYCHESTER AVENUE BRONX,10466.0,40.88494632,-73.84052176,1,3750 BAYCHESTER AVENUE ,95,360008806259,NY-321100010000-321100010529,3600088,NY-321100010000,06,08,ONE WORLD MIDDLE SCHOOL AT EDENWALD,NEW YORK CITY GEOGRAPHIC DISTRICT #11,Bronx County,3750 BAYCHESTER AVENUE ,BRONX,NY,10466,,(718)515-6780,11,City: Large,No,322.0,40.72000,7.9100000,265.00000,14.00000,–,Regular,Open
BRONX CHARTER SCHOOL FOR CHILDREN,388 WILLIS AVENUE BRONX,10454.0,40.81250524,-73.92038959,1,388 WILLIS AVENUE ,95,360011005651,NY-320700860852-320700860852,3600110,NY-320700860852,KG,08,BRONX CHARTER SCHOOL FOR CHILDREN,BRONX CHARTER SCHOOL FOR CHILDREN,Bronx County,388 WILLIS AVENUE ,BRONX,NY,10454,1303.0,(718)402-3300,11,City: Large,Yes,524.0,42.00000,12.4800000,†,†,†,Regular,Open
BRONX COMMUNITY CHARTER SCHOOL,3170 WEBSTER AVENUE BRONX,10467.0,40.87244057,-73.87544847,1,3170 WEBSTER AVENUE ,95,360096806074,NY-321000860914-321000860914,3600968,NY-321000860914,KG,08,BRONX COMMUNITY CHARTER SCHOOL,BRONX COMMUNITY CHARTER SCHOOL,Bronx County,3170 WEBSTER AVENUE ,BRONX,NY,10467,,(718)944-1400,11,City: Large,Yes,459.0,43.80000,10.4800000,364.00000,21.00000,–,Regular,Open
BRONX DANCE ACADEMY SCHOOL,3617 BAINBRIDGE AVENUE BRONX,10467.0,40.88510988,-73.87767774,0,3617 BAINBRIDGE AVENUE ,95,360008705569,NY-321000010000-321000010308,3600087,NY-321000010000,06,08,BRONX DANCE ACADEMY SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #10,Bronx County,3617 BAINBRIDGE AVENUE ,BRONX,NY,10467,,(718)515-0410,11,City: Large,No,257.0,20.00000,12.8500000,232.00000,6.00000,–,Regular,Open
"BRONX GREEN MIDDLE SCHOOL, BRONX PARK MIDDLE SCHOOL, PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAG",2441 WALLACE AVENUE BRONX,10467.0,40.8621026,-73.86457504,0,2441 WALLACE AVENUE ,95,360008805953,NY-321100010000-321100010326,3600088,NY-321100010000,06,08,BRONX GREEN MIDDLE SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #11,Bronx County,2441 WALLACE AVENUE ,BRONX,NY,10467,,(718)325-6593,11,City: Large,No,341.0,26.00000,13.1200000,319.00000,4.00000,–,Regular,Open
